07:47:53.902 [MissionAirdrop] An airdrop is heading towards "Georgstown" (pos=<4522.000000, 0.000000, 4370.000000> type=Random_Georgstown) with a ExpansionAirdropContainer_Military
09:19:01.312 [MissionAirdrop] An airdrop is heading towards "Oldfield" (pos=<6117.000000, 0.000000, 7004.000000> type=Random_Oldfield) with a ExpansionAirdropContainer_Medical
09:23:20.062 [Expansion Quests] - InitQuestSystemClient - Loaded existing player quest data for player with UID: 83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=
09:23:20.062 [Expansion Quests] - Create new quest instance for quest: 8 - Player UID: 83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=
09:23:20.066 [Expansion Quests] - Create new quest instance for quest: 9 - Player UID: 83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=
09:23:20.066 [Expansion Quests] - Create new quest instance for quest: 11 - Player UID: 83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=
09:23:20.070 [AI Patrol] Spawning 2 Milo-Ashville bots at <6503.605957, 70.241676, 3150.608643>
09:33:19.542 [AI Patrol] Spawning 2 East bots at <7001.072754, 6.580060, 1499.184937>
10:27:34.085 [VehicleEnter] Player Morningstar1980 [uid=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=] entered vehicle Ada 4x4 (id=9685A4F2CA4823F4C1B8F785AE5CFD00 pos=<7168.731934, 7.864308, 1517.434204>) as driver
10:27:45.914 [VehicleLeave] Player Morningstar1980 [uid=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=] left vehicle Ada 4x4 (id=9685A4F2CA4823F4C1B8F785AE5CFD00 pos=<7168.731934, 7.864283, 1517.434204>)
10:44:10.703 [VehicleEnter] Player Morningstar1980 [uid=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=] entered vehicle Gunter 2 (id=CCF73CA5DD4A1796A7FD6DA3AC72F98B pos=<7558.109863, 2.903474, 1598.450195>) as driver
10:44:15.546 [VehicleLeave] Player Morningstar1980 [uid=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=] left vehicle Gunter 2 (id=CCF73CA5DD4A1796A7FD6DA3AC72F98B pos=<7558.107910, 2.903518, 1598.449463>)
10:47:51.066 [MissionAirdrop] An airdrop is heading towards "Kushville" (pos=<7630.000000, 0.000000, 3717.000000> type=Random_Kushville) with a ExpansionAirdropContainer
11:13:17.953 [AI Patrol] Spawning 3 SouthOfSmallville bots at <8814.764648, 21.643345, 4257.668945>
11:18:20.632 [Safezone] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw= pos=<7678.493164, 43.713207, 4480.979004>) Entered the safezone
11:19:47.410 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has send a requested to sell ammo_expansion_m203_smoke_teargas x2 at the trader "Special (Indar [#STR_EXPANSION_MARKET_TRADER_SPECIAL])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>).
11:19:47.515 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has sold ammo_expansion_m203_smoke_teargas x2 at the trader "Special (Indar [#STR_EXPANSION_MARKET_TRADER_SPECIAL])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>) and got 506.
11:20:24.968 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has send a requested to sell ammo_expansion_m203_smoke_green x2 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>).
11:20:25.113 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has sold ammo_expansion_m203_smoke_green x2 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>) and got 224.
11:20:28.562 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has send a requested to sell ammo_expansion_m203_sticky_smoke_red x1 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>).
11:20:28.664 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has sold ammo_expansion_m203_sticky_smoke_red x1 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>) and got 225.
11:20:40.398 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has send a requested to sell gcgn_ammo_408chey x100 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>).
11:20:40.539 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has sold gcgn_ammo_408chey x100 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>) and got 100.
11:20:50.562 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has send a requested to sell gcgn_ammo_50cal x100 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>).
11:20:50.644 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has sold gcgn_ammo_50cal x100 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>) and got 0.
11:21:00.398 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has send a requested to sell gcgn_m4a1 x1 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>).
11:21:00.515 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has sold gcgn_m4a1 x1 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>) and got 1792.
11:21:06.890 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has send a requested to sell snafuar15_spr_black_gun x2 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>).
11:21:07.007 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has sold snafuar15_spr_black_gun x2 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>) and got 9247.
11:21:15.585 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has send a requested to sell snafu_sr25_gun x1 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>).
11:21:15.691 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has sold snafu_sr25_gun x1 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>) and got 7275.
11:21:19.332 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has send a requested to sell snafu_cz805_gun x2 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>).
11:21:19.445 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has sold snafu_cz805_gun x2 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>) and got 10425.
11:21:27.699 [Market] Player "Morningstar1980" (id=83imqfZkH-LpiTXHx7j8zism8xnbt8wuFtwNyuJW7Fw=) has send a requested to sell snafu_saint_gun x1 at the trader "Weapons (Mirek [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "The Hill" (pos=<7529.135742, 89.198120, 4610.044922>).
