=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2024-8-10_20-35-4
====================================================================================
20:35:4 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
20:35:4 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
20:35:4 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
20:35:4 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
20:35:4 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
20:35:4 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
20:35:4 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
20:35:4 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
20:35:4 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
20:35:4 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
20:35:4 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
20:35:4 | Building Sets Loaded: 0
20:35:4 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
20:35:4 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
0:40:21 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) connected to server!
0:41:6 | Player "MGM_762" (steamId=76561198330451260) connected to server!
1:28:24 | Player "PsiTom" (steamId=76561198076615957) connected to server!
1:53:30 | Player "PsiTom" (steamId=76561198076615957) initiated disconnect process...
1:53:33 | Player "PsiTom" (steamId=76561198076615957) disconnected from server.
3:54:7 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) initiated disconnect process...
3:54:9 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) disconnected early from server (EXIT NOW).
3:54:10 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) disconnected from server.
4:15:15 | Player "MGM_762" (steamId=76561198330451260) initiated disconnect process...
4:15:18 | Player "MGM_762" (steamId=76561198330451260) disconnected from server.
12:19:8 | Player "micha" (steamId=76561198033455872) connected to server!
13:24:50 | Player "micha" (steamId=76561198033455872) initiated disconnect process...
13:24:52 | Player "micha" (steamId=76561198033455872) disconnected early from server (EXIT NOW).
13:24:53 | Player "micha" (steamId=76561198033455872) disconnected from server.
17:17:59 | Player "micha" (steamId=76561198033455872) connected to server!
17:42:46 | Player "MGM_762" (steamId=76561198330451260) connected to server!
18:47:17 | Player "micha" (steamId=76561198033455872) initiated disconnect process...
18:47:19 | Player "micha" (steamId=76561198033455872) disconnected early from server (EXIT NOW).
18:47:20 | Player "micha" (steamId=76561198033455872) disconnected from server.
20:58:34 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) connected to server!
21:23:18 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) initiated disconnect process...
21:23:20 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) disconnected early from server (EXIT NOW).
21:23:21 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) disconnected from server.
21:23:32 | Player "MGM_762" (steamId=76561198330451260) initiated disconnect process...
21:23:35 | Player "MGM_762" (steamId=76561198330451260) disconnected from server.
