=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2024-7-16_20-12-8
====================================================================================
20:12:8 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
20:12:8 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
20:12:8 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
20:12:8 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
20:12:8 | [PermissionManager] Perm (MenuBansManager) has been registered!
20:12:8 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
20:12:8 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
20:12:8 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
20:12:8 | [PermissionManager] Perm (MenuWebHooks) has been registered!
20:12:8 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
20:12:8 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
20:12:8 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
20:12:8 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
20:12:8 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
20:12:8 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
20:12:8 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
20:12:8 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
20:12:8 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
20:12:8 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
20:12:8 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
20:12:8 | [PermissionManager] Perm (EspToolsMenu) has been registered!
20:12:8 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
20:12:8 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
20:12:8 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
20:12:8 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
20:12:8 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
20:12:8 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
20:12:8 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
20:12:8 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
20:12:8 | [PermissionManager] Adding Super Admin (76561198089301277)
20:12:8 | [PermissionManager] Loaded UserGroups.json
20:12:8 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
20:12:8 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
20:12:8 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
20:12:8 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
20:12:8 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
20:12:8 | Building Sets Loaded: 0
20:12:8 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
20:12:8 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
20:40:22 | Player "1DEADMANWALKIN" (steamId=76561198056112020) connected to server!
21:11:0 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) connected to server!
21:28:33 | Player "MGM_762" (steamId=76561198330451260) connected to server!
21:29:17 | Player "1DEADMANWALKIN" (steamId=76561198056112020) initiated disconnect process...
21:29:20 | Player "1DEADMANWALKIN" (steamId=76561198056112020) disconnected from server.
22:28:30 | Player "MGM_762" (steamId=76561198330451260) initiated disconnect process...
22:30:43 | Player "MGM_762" (steamId=76561198330451260) connected to server!
23:28:24 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) initiated disconnect process...
23:28:26 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) disconnected early from server (EXIT NOW).
23:28:27 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) disconnected from server.
23:55:3 | Player "MGM_762" (steamId=76561198330451260) initiated disconnect process...
23:55:6 | Player "MGM_762" (steamId=76561198330451260) disconnected from server.
18:44:54 | Player "Gavin" (steamId=76561199124137176) connected to server!
19:17:44 | Player "Gavin" (steamId=76561199124137176) initiated disconnect process...
19:17:47 | Player "Gavin" (steamId=76561199124137176) disconnected from server.
21:23:57 | Player "MGM_762" (steamId=76561198330451260) connected to server!
23:49:22 | Player "dexter" (steamId=76561199138797153) connected to server!
23:53:18 | Player "Troyite" (steamId=76561198354549507) connected to server!
0:45:8 | Player "MGM_762" (steamId=76561198330451260) initiated disconnect process...
0:45:11 | Player "MGM_762" (steamId=76561198330451260) disconnected from server.
2:0:32 | Player "dexter" (steamId=76561199138797153) initiated disconnect process...
2:0:35 | Player "dexter" (steamId=76561199138797153) disconnected from server.
2:0:35 | Player "Troyite" (steamId=76561198354549507) initiated disconnect process...
2:0:37 | Player "Troyite" (steamId=76561198354549507) disconnected early from server (EXIT NOW).
2:0:38 | Player "Troyite" (steamId=76561198354549507) disconnected from server.
